1,"平成22年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","",""
123,"","13208","d","","","調布市　人口集中地区",223593,216119,7474,3.4582799291,21.53,10385.2
124,"","13209","d","","","町田市　人口集中地区",391697,367251,24446,6.6564828959,44.45,8812.1
125,"","13210","d","","","小金井市　人口集中地区",118852,114112,4740,4.1538137970,11.33,10490.0
126,"","13211","d","","","小平市　人口集中地区",187035,183796,3239,1.7622799190,20.46,9141.5
127,"","13212","d","","","日野市　人口集中地区",178750,175286,3464,1.9761988978,24.65,7251.5
128,"","13213","d","","","東村山市　人口集中地区",153398,144793,8605,5.9429668561,16.56,9263.2
129,"","13214","d","","","国分寺市　人口集中地区",120650,117604,3046,2.5900479576,11.48,10509.6
130,"","13215","d","","","国立市　人口集中地区",72673,70301,2372,3.3740629579,6.74,10782.3
131,"","13218","d","","","福生市　人口集中地区",59548,60911,-1363,-2.2376910574,9.47,6288.1
132,"","13219","d","","","狛江市　人口集中地区",78751,78319,432,0.5515902910,6.39,12324.1
133,"","13220","d","","","東大和市　人口集中地区",82516,78746,3770,4.7875447642,9.77,8445.9
134,"","13221","d","","","清瀬市　人口集中地区",70402,69541,861,1.2381185200,8.05,8745.6
135,"","13222","d","","","東久留米市　人口集中地区",116546,115330,1216,1.0543657331,12.92,9020.6
136,"","13223","d","","","武蔵村山市　人口集中地区",66339,62783,3556,5.6639536180,9.69,6846.1
137,"","13224","d","","","多摩市　人口集中地区",143234,141300,1934,1.3687190375,16.22,8830.7
138,"","13225","d","","","稲城市　人口集中地区",68783,63129,5654,8.9562641575,7.45,9232.6
139,"","","d","","","      Ⅰ",58244,52692,5552,10.5367038640,6.52,8933.1
140,"","","d","","","      Ⅱ",10539,10437,102,0.9772923254,0.93,11332.3
141,"","13227","d","","","羽村市　人口集中地区",56325,55794,531,0.9517152382,8.83,6378.8
142,"","13228","d","","","あきる野市　人口集中地区",64685,62121,2564,4.1274287278,10.45,6190.0
143,"","13229","d","","","西東京市　人口集中地区",196511,189735,6776,3.5712968087,15.85,12398.2
144,"","13303","d","","","瑞穂町　人口集中地区",23272,23374,-102,-0.4363823051,6.31,3688.1
145,"","13305","d","","","日の出町　人口集中地区",8208,7837,371,4.7339543193,1.57,5228.0
